DATE,MODEL_VERSION,POLICY_ID,POLICY_ROLE,THRESHOLDS,EVENT_ID,MATCH,PLAYER1,PLAYER2,PICK,DECISION,RULE,ODDS,BOOKMAKER,PROBABILITY,EV,TIMESTAMP,RESULT,FLAT_RETURN,CLOSING_ODDS,CLV,BRIER_SCORE,SETTLEMENT_RULE
2026-08-02,tennis-2026.08-bookmaker-retirement-rules-v1,threshold-permissive-v1,shadow,movement<=0.100;dispersion<=0.120;quality>=4;risk_ev>0.030,73356502,"Jones, Emerson vs Tararudee, Lanlana","Jones, Emerson","Tararudee, Lanlana","Jones, Emerson",cancelled,stale_price,,,,,2026-08-02T21:23:58.334702+00:00,,,,,,
2026-08-02,tennis-2026.08-bookmaker-retirement-rules-v1,active-v1,active,,73356502,"Jones, Emerson vs Tararudee, Lanlana","Jones, Emerson","Tararudee, Lanlana","Jones, Emerson",cancelled,stale_price,,,,,2026-08-02T21:23:58.334702+00:00,,,,,,
2026-08-02,tennis-2026.08-bookmaker-retirement-rules-v1,threshold-conservative-v1,shadow,movement<=0.060;dispersion<=0.080;quality>=7;risk_ev>0.070,73325208,"Gibson, Talia vs Cocciaretto, Elisabetta","Gibson, Talia","Cocciaretto, Elisabetta","Gibson, Talia",cancelled,uncertainty_adjusted_edge_too_low,2.200,Bet365,0.483994,0.064786,2026-08-02T21:23:58.334702+00:00,W,1.200,,,0.266262,standard_completed_match
2026-08-02,tennis-2026.08-bookmaker-retirement-rules-v1,threshold-standard-v1,shadow,movement<=0.100;dispersion<=0.120;quality>=5;risk_ev>0.050,73325208,"Gibson, Talia vs Cocciaretto, Elisabetta","Gibson, Talia","Cocciaretto, Elisabetta","Gibson, Talia",cancelled,uncertainty_adjusted_edge_too_low,2.200,Bet365,0.483994,0.064786,2026-08-02T21:23:58.334702+00:00,W,1.200,,,0.266262,standard_completed_match
2026-08-02,tennis-2026.08-bookmaker-retirement-rules-v1,threshold-permissive-v1,shadow,movement<=0.100;dispersion<=0.120;quality>=4;risk_ev>0.030,73325208,"Gibson, Talia vs Cocciaretto, Elisabetta","Gibson, Talia","Cocciaretto, Elisabetta","Gibson, Talia",authorized,thresholds_passed,2.200,Bet365,0.483994,0.064786,2026-08-02T21:23:58.334702+00:00,W,1.200,,,0.266262,standard_completed_match
2026-08-02,tennis-2026.08-bookmaker-retirement-rules-v1,active-v1,active,,73325208,"Gibson, Talia vs Cocciaretto, Elisabetta","Gibson, Talia","Cocciaretto, Elisabetta","Gibson, Talia",cancelled,uncertainty_adjusted_edge_too_low,2.200,Bet365,0.483994,0.064786,2026-08-02T21:23:58.334702+00:00,W,1.200,,,0.266262,standard_completed_match
2026-08-02,tennis-2026.08-bookmaker-retirement-rules-v1,threshold-conservative-v1,shadow,movement<=0.060;dispersion<=0.080;quality>=7;risk_ev>0.070,73352320,"Diallo, Gabriel vs Jacquet, Kyrian","Diallo, Gabriel","Jacquet, Kyrian","Jacquet, Kyrian",cancelled,data_quality_too_low,2.100,Bet365,0.538735,0.131343,2026-08-02T22:26:03.468983+00:00,,,,,,
2026-08-02,tennis-2026.08-bookmaker-retirement-rules-v1,threshold-standard-v1,shadow,movement<=0.100;dispersion<=0.120;quality>=5;risk_ev>0.050,73352320,"Diallo, Gabriel vs Jacquet, Kyrian","Diallo, Gabriel","Jacquet, Kyrian","Jacquet, Kyrian",authorized,thresholds_passed,2.100,Bet365,0.538735,0.131343,2026-08-02T22:26:03.468983+00:00,,,,,,
2026-08-02,tennis-2026.08-bookmaker-retirement-rules-v1,threshold-permissive-v1,shadow,movement<=0.100;dispersion<=0.120;quality>=4;risk_ev>0.030,73352320,"Diallo, Gabriel vs Jacquet, Kyrian","Diallo, Gabriel","Jacquet, Kyrian","Jacquet, Kyrian",authorized,thresholds_passed,2.100,Bet365,0.538735,0.131343,2026-08-02T22:26:03.468983+00:00,,,,,,
2026-08-02,tennis-2026.08-bookmaker-retirement-rules-v1,active-v1,active,,73352320,"Diallo, Gabriel vs Jacquet, Kyrian","Diallo, Gabriel","Jacquet, Kyrian","Jacquet, Kyrian",authorized,pre_match_validated,2.100,Bet365,0.538735,0.131343,2026-08-02T22:26:03.468983+00:00,,,,,,
2026-08-03,tennis-2026.08-bookmaker-retirement-rules-v1,active-v1,active,,73352326,"Mejia, Nicolas vs Landaluce, Martin","Mejia, Nicolas","Landaluce, Martin","Mejia, Nicolas",cancelled,match_started,,,,,2026-08-03T15:23:43.493002+00:00,,,,,,
2026-08-03,tennis-2026.08-bookmaker-retirement-rules-v1,active-v1,active,,73356486,"Korneeva, Alina vs Kudermetova, Polina","Korneeva, Alina","Kudermetova, Polina","Kudermetova, Polina",cancelled,match_started,,,,,2026-08-03T15:23:43.493002+00:00,L,-1.000,,,,standard_completed_match
2026-08-03,tennis-2026.08-bookmaker-retirement-rules-v1,active-v1,active,,73375666,"Campana Lee, Gerard vs Haita, Stefan Horia","Campana Lee, Gerard","Haita, Stefan Horia","Haita, Stefan Horia",cancelled,match_started,,,,,2026-08-03T15:23:43.493002+00:00,L,-1.000,4.500,,,standard_completed_match
2026-08-03,tennis-2026.08-bookmaker-retirement-rules-v1,threshold-conservative-v1,shadow,movement<=0.060;dispersion<=0.080;quality>=7;risk_ev>0.070,73356502,"Jones, Emerson vs Tararudee, Lanlana","Jones, Emerson","Tararudee, Lanlana","Jones, Emerson",cancelled,insufficient_bookmakers,2.650,Unibet,0.432990,0.147423,2026-08-03T17:23:44.225853+00:00,,,,,,
2026-08-03,tennis-2026.08-bookmaker-retirement-rules-v1,threshold-standard-v1,shadow,movement<=0.100;dispersion<=0.120;quality>=5;risk_ev>0.050,73356502,"Jones, Emerson vs Tararudee, Lanlana","Jones, Emerson","Tararudee, Lanlana","Jones, Emerson",cancelled,insufficient_bookmakers,2.650,Unibet,0.432990,0.147423,2026-08-03T17:23:44.225853+00:00,,,,,,
2026-08-03,tennis-2026.08-bookmaker-retirement-rules-v1,threshold-permissive-v1,shadow,movement<=0.100;dispersion<=0.120;quality>=4;risk_ev>0.030,73356502,"Jones, Emerson vs Tararudee, Lanlana","Jones, Emerson","Tararudee, Lanlana","Jones, Emerson",cancelled,insufficient_bookmakers,2.650,Unibet,0.432990,0.147423,2026-08-03T17:23:44.225853+00:00,,,,,,
2026-08-03,tennis-2026.08-bookmaker-retirement-rules-v1,active-v1,active,,73356502,"Jones, Emerson vs Tararudee, Lanlana","Jones, Emerson","Tararudee, Lanlana","Jones, Emerson",cancelled,insufficient_bookmakers,2.650,Unibet,0.432990,0.147423,2026-08-03T17:23:44.225853+00:00,,,,,,
2026-08-03,tennis-2026.08-bookmaker-retirement-rules-v1,threshold-conservative-v1,shadow,movement<=0.060;dispersion<=0.080;quality>=7;risk_ev>0.070,73325210,"Putintseva, Yulia vs Zhang, Shuai","Putintseva, Yulia","Zhang, Shuai","Zhang, Shuai",authorized,thresholds_passed,2.750,Bet365,0.421060,0.157915,2026-08-03T17:23:44.225853+00:00,W,1.750,1.030,1.669903,0.335172,standard_completed_match
2026-08-03,tennis-2026.08-bookmaker-retirement-rules-v1,threshold-standard-v1,shadow,movement<=0.100;dispersion<=0.120;quality>=5;risk_ev>0.050,73325210,"Putintseva, Yulia vs Zhang, Shuai","Putintseva, Yulia","Zhang, Shuai","Zhang, Shuai",authorized,thresholds_passed,2.750,Bet365,0.421060,0.157915,2026-08-03T17:23:44.225853+00:00,W,1.750,1.030,1.669903,0.335172,standard_completed_match
2026-08-03,tennis-2026.08-bookmaker-retirement-rules-v1,threshold-permissive-v1,shadow,movement<=0.100;dispersion<=0.120;quality>=4;risk_ev>0.030,73325210,"Putintseva, Yulia vs Zhang, Shuai","Putintseva, Yulia","Zhang, Shuai","Zhang, Shuai",authorized,thresholds_passed,2.750,Bet365,0.421060,0.157915,2026-08-03T17:23:44.225853+00:00,W,1.750,1.030,1.669903,0.335172,standard_completed_match
2026-08-03,tennis-2026.08-bookmaker-retirement-rules-v1,active-v1,active,,73325210,"Putintseva, Yulia vs Zhang, Shuai","Putintseva, Yulia","Zhang, Shuai","Zhang, Shuai",authorized,pre_match_validated,2.750,Bet365,0.421060,0.157915,2026-08-03T17:23:44.225853+00:00,W,1.750,1.030,1.669903,0.335172,standard_completed_match
2026-08-03,tennis-2026.08-bookmaker-retirement-rules-v1,threshold-conservative-v1,shadow,movement<=0.060;dispersion<=0.080;quality>=7;risk_ev>0.070,73325192,"Valentova, Tereza vs Townsend, Taylor","Valentova, Tereza","Townsend, Taylor","Townsend, Taylor",authorized,thresholds_passed,2.750,Bet365,0.459639,0.264009,2026-08-03T19:03:37.912652+00:00,,,,,,
2026-08-03,tennis-2026.08-bookmaker-retirement-rules-v1,threshold-standard-v1,shadow,movement<=0.100;dispersion<=0.120;quality>=5;risk_ev>0.050,73325192,"Valentova, Tereza vs Townsend, Taylor","Valentova, Tereza","Townsend, Taylor","Townsend, Taylor",authorized,thresholds_passed,2.750,Bet365,0.459639,0.264009,2026-08-03T19:03:37.912652+00:00,,,,,,
2026-08-03,tennis-2026.08-bookmaker-retirement-rules-v1,threshold-permissive-v1,shadow,movement<=0.100;dispersion<=0.120;quality>=4;risk_ev>0.030,73325192,"Valentova, Tereza vs Townsend, Taylor","Valentova, Tereza","Townsend, Taylor","Townsend, Taylor",authorized,thresholds_passed,2.750,Bet365,0.459639,0.264009,2026-08-03T19:03:37.912652+00:00,,,,,,
2026-08-03,tennis-2026.08-bookmaker-retirement-rules-v1,active-v1,active,,73325192,"Valentova, Tereza vs Townsend, Taylor","Valentova, Tereza","Townsend, Taylor","Townsend, Taylor",authorized,pre_match_validated,2.750,Bet365,0.459639,0.264009,2026-08-03T19:03:37.912652+00:00,,,,,,
